"time","target_survival","target_survival_lb","target_survival_ub","comparator_survival","comparator_survival_lb","comparator_survival_ub","target_at_risk","comparator_at_risk","target_id","comparator_id","outcome_id","analysis_id","database_id"
13,0.7755,0.7401,0.8067,0.7957,0.7566,0.8292,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
14,0.7618,0.7244,0.795,0.7653,0.7222,0.8026,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
15,0.7358,0.6947,0.7724,0.75,0.705,0.7892,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
16,0.7153,0.6713,0.7545,0.7403,0.694,0.7808,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
17,0.697,0.6505,0.7387,0.7298,0.682,0.7716,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
18,0.6921,0.6448,0.7345,0.7263,0.678,0.7686,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
19,0.6921,0.6448,0.7345,0.7036,0.6519,0.749,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
20,0.6696,0.6187,0.7153,0.6937,0.6407,0.7405,NA,NA,16733,16739,16741,1,"cdm_premier_covid_v1240"
0,1,1,1,1,1,1,1127,1127,16733,16739,16741,2,"cdm_premier_covid_v1240"
2,0.9902,0.9845,0.996,0.9938,0.9892,0.9984,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
3,0.9704,0.9601,0.9807,0.9815,0.9733,0.9898,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
4,0.9544,0.9413,0.9675,0.9607,0.9483,0.9733,NA,NA,16733,16739,16741,2,"cdm_premier_covid_v1240"
